Operation,Rows,Speed
Insert,10,61.214 ms
Insert,10,41.634 ms
Insert,10,42.696 ms
Insert,10,41.929 ms
Insert,10,41.215 ms
Insert,10,42.426 ms
Insert,10,42.446 ms
Insert,10,43.024 ms
Insert,10,44.313 ms
Insert,10,45.711 ms
Insert,10,47.419 ms
Insert,10,45.821 ms
Insert,10,42.283 ms
Insert,10,42.513 ms
Insert,10,41.507 ms
Insert,10,42.019 ms
Insert,10,42.721 ms
Insert,10,41.946 ms
Insert,10,42.643 ms
Insert,10,42.182 ms
Insert,10,42.705 ms
Insert,10,41.453 ms
Insert,10,40.918 ms
Insert,10,43.155 ms
Insert,10,42.991 ms
Insert,10,50.483 ms
Insert,10,50.852 ms
Insert,10,47.308 ms
Insert,10,48.724 ms
Insert,10,50.551 ms
Insert,10,46.428 ms
Insert,10,48.234 ms
Insert,10,48.473 ms
Insert,10,47.805 ms
Insert,10,45.225 ms
Insert,10,44.053 ms
Insert,10,42.890 ms
Insert,10,43.355 ms
Insert,10,47.210 ms
Insert,10,46.552 ms
Insert,10,42.217 ms
Insert,10,41.914 ms
Insert,10,44.287 ms
Insert,10,44.789 ms
Insert,10,44.555 ms
Insert,10,45.174 ms
Insert,10,47.797 ms
Insert,10,44.283 ms
Insert,10,43.163 ms
Insert,10,45.412 ms
Insert,10,45.582 ms
Insert,10,47.432 ms
Insert,10,46.936 ms
Insert,10,45.534 ms
Insert,10,47.038 ms
Insert,10,43.258 ms
Insert,10,47.075 ms
Insert,10,47.983 ms
Insert,10,48.939 ms
Insert,10,48.582 ms
Insert,10,50.427 ms
Insert,10,45.515 ms
Insert,10,48.559 ms
Insert,10,47.029 ms
Insert,10,46.364 ms
Insert,10,46.020 ms
Insert,10,47.247 ms
Insert,10,47.699 ms
Insert,10,42.646 ms
Insert,10,41.835 ms
Insert,10,42.684 ms
Insert,10,41.156 ms
Insert,10,45.548 ms
Insert,10,42.336 ms
Insert,10,43.381 ms
Insert,10,45.082 ms
Insert,10,42.341 ms
Insert,10,42.185 ms
Insert,10,45.006 ms
Insert,10,47.769 ms
Insert,10,47.740 ms
Insert,10,47.044 ms
Insert,10,48.193 ms
Insert,10,46.992 ms
Insert,10,42.880 ms
Insert,10,43.473 ms
Insert,10,42.679 ms
Insert,10,42.938 ms
Insert,10,44.270 ms
Insert,10,43.602 ms
Insert,10,43.583 ms
Insert,10,43.028 ms
Insert,10,42.701 ms
Insert,10,42.076 ms
Insert,10,42.388 ms
Insert,10,43.882 ms
Insert,10,41.722 ms
Insert,10,42.598 ms
Insert,10,42.712 ms
Insert,10,43.723 ms
